municipality_code,municipality_name,municipality_name_short,county_code
0114,Upplands Väsby kommun,Upplands Väsby,01
0115,Vallentuna kommun,Vallentuna,01
0117,Österåkers kommun,Österåker,01
0120,Värmdö kommun,Värmdö,01
0123,Järfälla kommun,Järfälla,01
0125,Ekerö kommun,Ekerö,01
0126,Huddinge kommun,Huddinge,01
0127,Botkyrka kommun,Botkyrka,01
0128,Salems kommun,Salem,01
0136,Haninge kommun,Haninge,01
0138,Tyresö kommun,Tyresö,01
0139,Upplands-Bro kommun,Upplands-Bro,01
0140,Nykvarns kommun,Nykvarn,01
0160,Täby kommun,Täby,01
0162,Danderyds kommun,Danderyd,01
0163,Sollentuna kommun,Sollentuna,01
0180,Stockholms kommun,Stockholm,01
0181,Södertälje kommun,Södertälje,01
0182,Nacka kommun,Nacka,01
0183,Sundbybergs kommun,Sundbyberg,01
0184,Solna kommun,Solna,01
0186,Lidingö kommun,Lidingö,01
0187,Vaxholms kommun,Vaxholm,01
0188,Norrtälje kommun,Norrtälje,01
0191,Sigtuna kommun,Sigtuna,01
0192,Nynäshamns kommun,Nynäshamn,01
0305,Håbo kommun,Håbo,03
0319,Älvkarleby kommun,Älvkarleby,03
0330,Knivsta kommun,Knivsta,03
0331,Heby kommun,Heby,03
0360,Tierps kommun,Tierp,03
0380,Uppsala kommun,Uppsala,03
0381,Enköpings kommun,Enköping,03
0382,Östhammars kommun,Östhammar,03
0428,Vingåkers kommun,Vingåker,04
0461,Gnesta kommun,Gnesta,04
0480,Nyköpings kommun,Nyköping,04
0481,Oxelösunds kommun,Oxelösund,04
0482,Flens kommun,Flen,04
0483,Katrineholms kommun,Katrineholm,04
0484,Eskilstuna kommun,Eskilstuna,04
0486,Strängnäs kommun,Strängnäs,04
0488,Trosa kommun,Trosa,04
0509,Ödeshögs kommun,Ödeshög,05
0512,Ydre kommun,Ydre,05
0513,Kinda kommun,Kinda,05
0560,Boxholms kommun,Boxholm,05
0561,Åtvidabergs kommun,Åtvidaberg,05
0562,Finspångs kommun,Finspång,05
0563,Valdemarsviks kommun,Valdemarsvik,05
0580,Linköpings kommun,Linköping,05
0581,Norrköpings kommun,Norrköping,05
0582,Söderköpings kommun,Söderköping,05
0583,Motala kommun,Motala,05
0584,Vadstena kommun,Vadstena,05
0586,Mjölby kommun,Mjölby,05
0604,Aneby kommun,Aneby,06
0617,Gnosjö kommun,Gnosjö,06
0642,Mullsjö kommun,Mullsjö,06
0643,Habo kommun,Habo,06
0662,Gislaveds kommun,Gislaved,06
0665,Vaggeryds kommun,Vaggeryd,06
0680,Jönköpings kommun,Jönköping,06
0682,Nässjö kommun,Nässjö,06
0683,Värnamo kommun,Värnamo,06
0684,Sävsjö kommun,Sävsjö,06
0685,Vetlanda kommun,Vetlanda,06
0686,Eksjö kommun,Eksjö,06
0687,Tranås kommun,Tranås,06
0760,Uppvidinge kommun,Uppvidinge,07
0761,Lessebo kommun,Lessebo,07
0763,Tingsryds kommun,Tingsryd,07
0764,Alvesta kommun,Alvesta,07
0765,Älmhults kommun,Älmhult,07
0767,Markaryds kommun,Markaryd,07
0780,Växjö kommun,Växjö,07
0781,Ljungby kommun,Ljungby,07
0821,Högsby kommun,Högsby,08
0834,Torsås kommun,Torsås,08
0840,Mörbylånga kommun,Mörbylånga,08
0860,Hultsfreds kommun,Hultsfred,08
0861,Mönsterås kommun,Mönsterås,08
0862,Emmaboda kommun,Emmaboda,08
0880,Kalmars kommun,Kalmar,08
0881,Nybro kommun,Nybro,08
0882,Oskarshamns kommun,Oskarshamn,08
0883,Västerviks kommun,Västervik,08
0884,Vimmerby kommun,Vimmerby,08
0885,Borgholms kommun,Borgholm,08
0980,Gotlands kommun,Gotland,09
1060,Olofströms kommun,Olofström,10
1080,Karlskrona kommun,Karlskrona,10
1081,Ronneby kommun,Ronneby,10
1082,Karlshamns kommun,Karlshamn,10
1083,Sölvesborgs kommun,Sölvesborg,10
1214,Svalövs kommun,Svalöv,12
1230,Staffanstorps kommun,Staffanstorp,12
1231,Burlövs kommun,Burlöv,12
1233,Vellinge kommun,Vellinge,12
1256,Östra Göinge kommun,Östra Göinge,12
1257,Örkelljunga kommun,Örkelljunga,12
1260,Bjuvs kommun,Bjuv,12
1261,Kävlinge kommun,Kävlinge,12
1262,Lomma kommun,Lomma,12
1263,Svedala kommun,Svedala,12
1264,Skurups kommun,Skurup,12
1265,Sjöbo kommun,Sjöbo,12
1266,Hörby kommun,Hörby,12
1267,Höörs kommun,Höör,12
1270,Tomelilla kommun,Tomelilla,12
1272,Bromölla kommun,Bromölla,12
1273,Osby kommun,Osby,12
1275,Perstorps kommun,Perstorp,12
1276,Klippans kommun,Klippan,12
1277,Åstorps kommun,Åstorp,12
1278,Båstads kommun,Båstad,12
1280,Malmö kommun,Malmö,12
1281,Lunds kommun,Lund,12
1282,Landskrona kommun,Landskrona,12
1283,Helsingborgs kommun,Helsingborg,12
1284,Höganäs kommun,Höganäs,12
1285,Eslövs kommun,Eslöv,12
1286,Ystads kommun,Ystad,12
1287,Trelleborgs kommun,Trelleborg,12
1290,Kristianstads kommun,Kristianstad,12
1291,Simrishamns kommun,Simrishamn,12
1292,Ängelholms kommun,Ängelholm,12
1293,Hässleholms kommun,Hässleholm,12
1315,Hylte kommun,Hylte,13
1380,Halmstads kommun,Halmstad,13
1381,Laholms kommun,Laholm,13
1382,Falkenbergs kommun,Falkenberg,13
1383,Varbergs kommun,Varberg,13
1384,Kungsbacka kommun,Kungsbacka,13
1401,Härryda kommun,Härryda,14
1402,Partille kommun,Partille,14
1407,Öckerö kommun,Öckerö,14
1415,Stenungsunds kommun,Stenungsund,14
1419,Tjörns kommun,Tjörn,14
1421,Orusts kommun,Orust,14
1427,Sotenäs kommun,Sotenäs,14
1430,Munkedals kommun,Munkedal,14
1435,Tanums kommun,Tanum,14
